id,title,authors,venue,year,text
118,ariadne : a system for constructing mediators for internet sources ( demonstration ),"j ambite , n ashish , g barish , a knoblock , s minton","proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",,"COL title VAL ariadne : a system for constructing mediators for internet sources ( demonstration ) COL authors VAL j ambite , n ashish , g barish , a knoblock , s minton COL venue VAL proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; , COL year VAL "
119,cost effective dynamic program slicing,"x zhang , r gupta",,,"COL title VAL cost effective dynamic program slicing COL authors VAL x zhang , r gupta COL venue VAL  COL year VAL "
120,pan-browser support for annotations and other meta-information on the world wide web,"ma schickler , ms mazer , c brooks","www5 / computer networks ,",1996.0,"COL title VAL pan-browser support for annotations and other meta-information on the world wide web COL authors VAL ma schickler , ms mazer , c brooks COL venue VAL www5 / computer networks , COL year VAL 1996.0"
121,how coping mediates the effect of optimism on distress : a study of women with early stage breast,"cs carver , c pozo , sd harris , v noriegaâ ? ¦","journal of personality and social psychology ,",1993.0,"COL title VAL how coping mediates the effect of optimism on distress : a study of women with early stage breast COL authors VAL cs carver , c pozo , sd harris , v noriegaâ ? ¦ COL venue VAL journal of personality and social psychology , COL year VAL 1993.0"
122,aspects of disc brake judder,h jacobsson,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2003.0,"COL title VAL aspects of disc brake judder COL authors VAL h jacobsson COL venue VAL proceedings of the i mech e part d journal of automobile & hellip ; , COL year VAL 2003.0"
123,getting started : informal small-group strategies in large classes,"jl cooper , p robinson","new directions for teaching and learning ,",2000.0,"COL title VAL getting started : informal small-group strategies in large classes COL authors VAL jl cooper , p robinson COL venue VAL new directions for teaching and learning , COL year VAL 2000.0"
124,thread-local heaps for java,"t domani , g goldshtein , ek kolodner , e lewis , e",,,"COL title VAL thread-local heaps for java COL authors VAL t domani , g goldshtein , ek kolodner , e lewis , e COL venue VAL  COL year VAL "
125,revisiting scholarship,c kreberâ ? ¦,"new directions for teaching and learning , no ,",,"COL title VAL revisiting scholarship COL authors VAL c kreberâ ? ¦ COL venue VAL new directions for teaching and learning , no , COL year VAL "
126,roussopoulos . performanceandscalabilityofclient-server database architecture,a delisandn,,1992.0,COL title VAL roussopoulos . performanceandscalabilityofclient-server database architecture COL authors VAL a delisandn COL venue VAL  COL year VAL 1992.0
127,scalable session messages in srm using self-configuration,"p sharma , d estrin , s floyd , l zhang",,,"COL title VAL scalable session messages in srm using self-configuration COL authors VAL p sharma , d estrin , s floyd , l zhang COL venue VAL  COL year VAL "
128,"reyes , de los , guillermo",p revere,,,"COL title VAL reyes , de los , guillermo COL authors VAL p revere COL venue VAL  COL year VAL "
129,transputer implementation of kalman filters,"lp maguire , gw irwin",,,"COL title VAL transputer implementation of kalman filters COL authors VAL lp maguire , gw irwin COL venue VAL  COL year VAL "
130,waiting times for stationary processes,"i kontoyiannis , a recurrence","technical report no. 92 , stanford university , july",,"COL title VAL waiting times for stationary processes COL authors VAL i kontoyiannis , a recurrence COL venue VAL technical report no. 92 , stanford university , july COL year VAL "
131,jade : jabber-based authoring in distributed environments,"a roczniak , a el saddik","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0,"COL title VAL jade : jabber-based authoring in distributed environments COL authors VAL a roczniak , a el saddik COL venue VAL proceedings of the 13th annual acm international conference & hellip ; , COL year VAL 2005.0"
132,a finite element method for the dynamic analysis of automatic transmission gear shifting with a four,"n zhang , a crowther , dk liu , j jeyakumaran",,,"COL title VAL a finite element method for the dynamic analysis of automatic transmission gear shifting with a four COL authors VAL n zhang , a crowther , dk liu , j jeyakumaran COL venue VAL  COL year VAL "
133,"hermes : a heterogeneous reasoning and mediator system , 1994","vs subrahmanian , s adali , a brink , r emery , jl lu ,",submitted for,,"COL title VAL hermes : a heterogeneous reasoning and mediator system , 1994 COL authors VAL vs subrahmanian , s adali , a brink , r emery , jl lu , COL venue VAL submitted for COL year VAL "
134,proposed air force guidelines for successfully supporting the intrinsic remediation ( natural,"th wiedemeier , jt wilson , dh kampbell , rn miller","proceedings , 1994 outdoor action conference , may 23-25 , & hellip ; ,",,"COL title VAL proposed air force guidelines for successfully supporting the intrinsic remediation ( natural COL authors VAL th wiedemeier , jt wilson , dh kampbell , rn miller COL venue VAL proceedings , 1994 outdoor action conference , may 23-25 , & hellip ; , COL year VAL "
135,multimedia miner : a system prototype for multimedia data mining,", j han , sh chee , jy chiang","proceedings of acm-sigmod international conference on & hellip ; ,",1998.0,"COL title VAL multimedia miner : a system prototype for multimedia data mining COL authors VAL , j han , sh chee , jy chiang COL venue VAL proceedings of acm-sigmod international conference on & hellip ; , COL year VAL 1998.0"
136,"integration of teaching and research : myth , reality , and possibility",m weimer,"new directions for teaching and learning ,",1997.0,"COL title VAL integration of teaching and research : myth , reality , and possibility COL authors VAL m weimer COL venue VAL new directions for teaching and learning , COL year VAL 1997.0"
137,a value-added model for electronic commerce,to ` daniel,"electronic markets ,",,"COL title VAL a value-added model for electronic commerce COL authors VAL to ` daniel COL venue VAL electronic markets , COL year VAL "
138,photoprotection by carotenoids,mm mathews-roth,"fed proc ,",1987.0,"COL title VAL photoprotection by carotenoids COL authors VAL mm mathews-roth COL venue VAL fed proc , COL year VAL 1987.0"
139,prehospital cardiac arrest survival and neurologic recovery,"m hillis , d sinclair , g butler , e cain","journal of emergency medicine ,",1993.0,"COL title VAL prehospital cardiac arrest survival and neurologic recovery COL authors VAL m hillis , d sinclair , g butler , e cain COL venue VAL journal of emergency medicine , COL year VAL 1993.0"
140,inside visual c++,jk david,,1996.0,COL title VAL inside visual c++ COL authors VAL jk david COL venue VAL  COL year VAL 1996.0
141,preferential treatment for short flows to reduce web latency,"x chen , j heidemann","computer networks ,",2003.0,"COL title VAL preferential treatment for short flows to reduce web latency COL authors VAL x chen , j heidemann COL venue VAL computer networks , COL year VAL 2003.0"
142,instrumental stakeholder theory : a synthesis of ethics and economics,tm jones,"the academy of management review ,",1995.0,"COL title VAL instrumental stakeholder theory : a synthesis of ethics and economics COL authors VAL tm jones COL venue VAL the academy of management review , COL year VAL 1995.0"
143,curves and surfaces in computer aided geometric design,g farin,,,COL title VAL curves and surfaces in computer aided geometric design COL authors VAL g farin COL venue VAL  COL year VAL 
144,a data warehouse intelligent cache manager [ c ],p schenermannâ ? ¦,"proc of the 22nd vldb conf ,",,"COL title VAL a data warehouse intelligent cache manager [ c ] COL authors VAL p schenermannâ ? ¦ COL venue VAL proc of the 22nd vldb conf , COL year VAL "
145,"assessment , enhancement , and verification determinants of the self-evaluation process",c sedikides,"journal of personality and social psychology ,",1993.0,"COL title VAL assessment , enhancement , and verification determinants of the self-evaluation process COL authors VAL c sedikides COL venue VAL journal of personality and social psychology , COL year VAL 1993.0"
146,the velocity of sound below 1 k,"kr atkins , dv osborne","phil . mag ,",,"COL title VAL the velocity of sound below 1 k COL authors VAL kr atkins , dv osborne COL venue VAL phil . mag , COL year VAL "
147,"dye standards , part i : terminology and general principles","h lyon , e schulte , a de leenheer , s lewis , v","the histochemical journal ,",1992.0,"COL title VAL dye standards , part i : terminology and general principles COL authors VAL h lyon , e schulte , a de leenheer , s lewis , v COL venue VAL the histochemical journal , COL year VAL 1992.0"
148,estimating dna sequence entropy,jk lanctot,,,COL title VAL estimating dna sequence entropy COL authors VAL jk lanctot COL venue VAL  COL year VAL 
149,svâ `` jeuxantiquesâ '',ve encarta,,1993.0,COL title VAL svâ `` jeuxantiquesâ '' COL authors VAL ve encarta COL venue VAL  COL year VAL 1993.0
150,"learning plateaus in generalized cognitive condensations : phase transition , path dependence and","r wallace , r fullilove",,2001.0,"COL title VAL learning plateaus in generalized cognitive condensations : phase transition , path dependence and COL authors VAL r wallace , r fullilove COL venue VAL  COL year VAL 2001.0"
151,multiaccess of a slotted channel using a control mini-slot,"l merakos , d kazakos","proc . int . conf . communications ,",,"COL title VAL multiaccess of a slotted channel using a control mini-slot COL authors VAL l merakos , d kazakos COL venue VAL proc . int . conf . communications , COL year VAL "
152,urban watershed gis models for neighborhood environmental education . 1997 acsm/asprs annual,"cj van zee , p hayes","seattle , washington , april ,",,"COL title VAL urban watershed gis models for neighborhood environmental education . 1997 acsm/asprs annual COL authors VAL cj van zee , p hayes COL venue VAL seattle , washington , april , COL year VAL "
