id,title,authors,venue,year,text
139,the ecobase project : database and web technologies for environmental information systems,"a tanaka , p valduriez",sigmod record,2001,"COL title VAL the ecobase project : database and web technologies for environmental information systems COL authors VAL a tanaka , p valduriez COL venue VAL sigmod record COL year VAL 2001"
140,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,"COL title VAL some issues in design of distributed deductive databases COL authors VAL m mohania , n sarda COL venue VAL vldb COL year VAL 1994"
141,semantic integration in heterogeneous databases using neural networks,"w li , c clifton",vldb,1994,"COL title VAL semantic integration in heterogeneous databases using neural networks COL authors VAL w li , c clifton COL venue VAL vldb COL year VAL 1994"
142,xml document versioning,"s chien , v tsotras , c zaniolo",sigmod record,2001,"COL title VAL xml document versioning COL authors VAL s chien , v tsotras , c zaniolo COL venue VAL sigmod record COL year VAL 2001"
143,providing dynamic security control in a federated database,"n idris , w gray , r churchhouse",vldb,1994,"COL title VAL providing dynamic security control in a federated database COL authors VAL n idris , w gray , r churchhouse COL venue VAL vldb COL year VAL 1994"
144,"preservation of digital data with self-validating , self-instantiating knowledge-based archives","b ludфscher , r marciano , r moore",sigmod record,2001,"COL title VAL preservation of digital data with self-validating , self-instantiating knowledge-based archives COL authors VAL b ludфscher , r marciano , r moore COL venue VAL sigmod record COL year VAL 2001"
145,"semantic web workshop : models , architectures and management",,,2001,"COL title VAL semantic web workshop : models , architectures and management COL authors VAL  COL venue VAL  COL year VAL 2001"
146,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994,"COL title VAL implementing lazy database updates for an object database system COL authors VAL f ferrandina , t meyer , r zicari COL venue VAL vldb COL year VAL 1994"
147,towards event-driven modelling for database design,"m teisseire , p poncelet , r cicchetti",vldb,1994,"COL title VAL towards event-driven modelling for database design COL authors VAL m teisseire , p poncelet , r cicchetti COL venue VAL vldb COL year VAL 1994"
148,reminiscences on influential papers,,,2001,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2001
149,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",,,2001,"COL title VAL jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more COL authors VAL  COL venue VAL  COL year VAL 2001"
150,new concurrency control algorithms for accessing and compacting b-trees,"v setzer , a zisman",vldb,1994,"COL title VAL new concurrency control algorithms for accessing and compacting b-trees COL authors VAL v setzer , a zisman COL venue VAL vldb COL year VAL 1994"
151,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,"COL title VAL odefs : a file system interface to an object-oriented database COL authors VAL n gehani , h jagadish , w roome COL venue VAL vldb COL year VAL 1994"
152,report on the 2001 sigmod and pods awards,,,2001,COL title VAL report on the 2001 sigmod and pods awards COL authors VAL  COL venue VAL  COL year VAL 2001
153,constraints for semi-structured data and xml,"p buneman , w fan , j simщon , s weinstein",sigmod record,2001,"COL title VAL constraints for semi-structured data and xml COL authors VAL p buneman , w fan , j simщon , s weinstein COL venue VAL sigmod record COL year VAL 2001"
154,indexing multiple sets,"c kilger , g moerkotte",vldb,1994,"COL title VAL indexing multiple sets COL authors VAL c kilger , g moerkotte COL venue VAL vldb COL year VAL 1994"
155,editor 's notes,,,2001,COL title VAL editor 's notes COL authors VAL  COL venue VAL  COL year VAL 2001
156,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994,"COL title VAL the hcc-tree : an efficient index structure for object oriented databases COL authors VAL b sreenath , s seshadri COL venue VAL vldb COL year VAL 1994"
157,performance of data-parallel spatial operations,"e hoel , h samet",vldb,1994,"COL title VAL performance of data-parallel spatial operations COL authors VAL e hoel , h samet COL venue VAL vldb COL year VAL 1994"
158,sql/xml and the sqlx informal group of companies,"a eisenberg , j melton",sigmod record,2001,"COL title VAL sql/xml and the sqlx informal group of companies COL authors VAL a eisenberg , j melton COL venue VAL sigmod record COL year VAL 2001"
159,eiha ?!? : deploying web and wap services using xml technology,"c biancheri , j pazzaglia , g paddeu",sigmod record,2001,"COL title VAL eiha ?!? : deploying web and wap services using xml technology COL authors VAL c biancheri , j pazzaglia , g paddeu COL venue VAL sigmod record COL year VAL 2001"
160,the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel",vldb,1994,"COL title VAL the impact of global clustering on spatial database systems COL authors VAL t brinkhoff , h kriegel COL venue VAL vldb COL year VAL 1994"
161,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001,"COL title VAL java support for data-intensive systems : experiences building the telegraph dataflow system COL authors VAL m shah , s madden , m franklin , j hellerstein COL venue VAL sigmod record COL year VAL 2001"
162,a requirement-based approach to data modeling and re-engineering,"a muntz , c ramiller",vldb,1994,"COL title VAL a requirement-based approach to data modeling and re-engineering COL authors VAL a muntz , c ramiller COL venue VAL vldb COL year VAL 1994"
163,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001,"COL title VAL sql multimedia and application packages ( sql/mm ) COL authors VAL j melton , a eisenberg COL venue VAL sigmod record COL year VAL 2001"
164,from nested-loop to join queries in oodb,"h steenhagen , p apers , h blanken , r by",vldb,1994,"COL title VAL from nested-loop to join queries in oodb COL authors VAL h steenhagen , p apers , h blanken , r by COL venue VAL vldb COL year VAL 1994"
165,dimacs summer school tutorial on new frontiers in data mining,"d gunopulos , n koudas",sigmod record,2001,"COL title VAL dimacs summer school tutorial on new frontiers in data mining COL authors VAL d gunopulos , n koudas COL venue VAL sigmod record COL year VAL 2001"
166,"composite events for active databases : semantics , contexts and detection","s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,1994,"COL title VAL composite events for active databases : semantics , contexts and detection COL authors VAL s chakravarthy , v krishnaprasad , e anwar , s kim COL venue VAL vldb COL year VAL 1994"
167,report on the 8th international workshop on knowledge representation meets databases ( krdb ),,,2001,COL title VAL report on the 8th international workshop on knowledge representation meets databases ( krdb ) COL authors VAL  COL venue VAL  COL year VAL 2001
168,a low-cost storage server for movie on demand databases,"b жzden , a biliris , r rastogi , a silberschatz",vldb,1994,"COL title VAL a low-cost storage server for movie on demand databases COL authors VAL b жzden , a biliris , r rastogi , a silberschatz COL venue VAL vldb COL year VAL 1994"
169,editor 's notes,l liu,sigmod record,2001,COL title VAL editor 's notes COL authors VAL l liu COL venue VAL sigmod record COL year VAL 2001
170,content-based image indexing,t chiueh,vldb,1994,COL title VAL content-based image indexing COL authors VAL t chiueh COL venue VAL vldb COL year VAL 1994
171,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,"COL title VAL client-server paradise COL authors VAL d dewitt , n kabra , j luo , j patel , j yu COL venue VAL vldb COL year VAL 1994"
172,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth , j miller , k kochut , i arpinar",sigmod record,2001,"COL title VAL research in multi-organizational processes and semantic information brokering at the lsdis lab COL authors VAL a sheth , j miller , k kochut , i arpinar COL venue VAL sigmod record COL year VAL 2001"
173,on the academic interview circuit : an end-to-end discussion,u чetintemel,sigmod record,2001,COL title VAL on the academic interview circuit : an end-to-end discussion COL authors VAL u чetintemel COL venue VAL sigmod record COL year VAL 2001
174,cumulative updates,"s sripada , b wќthrich",vldb,1994,"COL title VAL cumulative updates COL authors VAL s sripada , b wќthrich COL venue VAL vldb COL year VAL 1994"
175,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994,"COL title VAL cache conscious algorithms for relational query processing COL authors VAL a shatdal , c kant , j naughton COL venue VAL vldb COL year VAL 1994"
176,introduction to the career forum column,a labrinidis,sigmod record,2001,COL title VAL introduction to the career forum column COL authors VAL a labrinidis COL venue VAL sigmod record COL year VAL 2001
177,challenges for global information systems,"a levy , a silberschatz , d srivastava , m zemankova",vldb,1994,"COL title VAL challenges for global information systems COL authors VAL a levy , a silberschatz , d srivastava , m zemankova COL venue VAL vldb COL year VAL 1994"
178,continuous queries over data streams,"s babu , j widom",sigmod record,2001,"COL title VAL continuous queries over data streams COL authors VAL s babu , j widom COL venue VAL sigmod record COL year VAL 2001"
179,data analysis and mining in the life sciences,n huyn,sigmod record,2001,COL title VAL data analysis and mining in the life sciences COL authors VAL n huyn COL venue VAL sigmod record COL year VAL 2001
180,building a laboratory information system around a c++ - based object-oriented dbms,"n goodman , s rozen , l stein",vldb,1994,"COL title VAL building a laboratory information system around a c++ - based object-oriented dbms COL authors VAL n goodman , s rozen , l stein COL venue VAL vldb COL year VAL 1994"
